Orig,Route String,Dest,Hours1,Hours2,Hours3,Type,Area,Altitude,Aircraft,Direction,Seq,DCNTR,ACNTR
PWM,PWM ENE T287 HAVNS LFV ACK,ACK,,,,TEC,,10000,,,1,ZBW,ZBW
PWM,PWM CON CAM ALB,ALB,,,,TEC,TO ALB.SCH,10000,,,1,ZBW,ZBW
PWM,PWM CLOWW WITNY BDL,BDL,,,,TEC,,10000,RNAV ONLY,,2,ZBW,ZBW
PWM,PWM CLOWW WITNY HFD BDR,BDR,,,,TEC,,10000,RNAV ONLY,,2,ZBW,ZNY
PWM,PWM ENE LWRNC BED,BED,,,,TEC,TO BEDFORD & NORTH SATS,10000,,,1,ZBW,ZBW
PWM,PWM ENE PEASE STEVO LWRNC BOS,BOS,,,,TEC,,10000,PROPS LESS THAN 250 KTS IAS,,1,ZBW,ZBW
PWM,PWM ENE V167 SCUPP BOS,BOS,,,,TEC,,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,2,ZBW,ZBW
PWM,PWM NUBLE4 CCC TOPRR Q167 ZIZZI KNUKK ATR LAFLN MIIDY3 BWI,BWI,,,,H,TO BWI.MTN,,JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS,,1,ZBW,ZDC
PWM,PWM HSKEL3 CAM Q822 GONZZ HANKK THOME TRYBE4 CLE,CLE,1100-0300,,,H,,,RNAV TURBOJET,,1,ZBW,ZOB
PWM,PWM NUBLE4 NELIE Q75 GVE AIROW CHSLY6 CLT,CLT,1100-0300,,,H,,,,,1,ZBW,ZTL
PWM,PWM HSKEL3 CAM Q822 GONZZ JOSSY MAULL KODIE SAVVI TIGRR4 CVG,CVG,1100-0300,,,H,,,DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZID
PWM,PWM NUBLE4 CCC TOPRR Q167 ZIZZI KNUKK ATR LAFLN DEALE3 DCA,DCA,1100-0300,,,H,,,,,1,ZBW,ZDC
PWM,PWM HSKEL3 BAUER HANAA Q816 HOCKE Q935 MONEE IANNA ONL PORDR AALLE4 DEN,DEN,,,,H,,,JETS ONLY. RNAV 1 - DME/DME/IRU OR GPS,,1,ZBW,ZDV
PWM,PWM NUBLE4 BAF Q406 BWZ J6 HVQ Q68 LITTR FEWWW SEEVR4 DFW,DFW,,,,H,,,JETS ONLY. RNAV 1 - DME/DME/IRU OR GPS,DFW SOUTH FLOW,1,ZBW,ZFW
PWM,PWM NUBLE4 BAF Q406 BWZ J6 HVQ Q68 LITTR FEWWW BRDJE5 DFW,DFW,,,,H,,,JETS ONLY. RNAV 1 - DME/DME/IRU OR GPS,DFW NORTH FLOW,2,ZBW,ZFW
PWM,PWM HSKEL3 CAM Q822 GONZZ DONEO TPGUN2 DTW,DTW,1100-0300,,,H,,,DME/DME/IRU OR GPS REQUIRED,DTW SOUTH FLOW,1,ZBW,ZOB
PWM,PWM HSKEL3 CAM Q822 GONZZ DONEO CUUGR2 DTW,DTW,1100-0300,,,H,,,DME/DME/IRU OR GPS REQUIRED,DTW NORTH FLOW,2,ZBW,ZOB
PWM,PWM CLOWW WITNY HFD T303 MAD EEGOR ALIXX RYMES DXR,DXR,,,,TEC,,10000,RNAV ONLY,,2,ZBW,ZNY
PWM,PWM HSKEL3 HANAA FLOSI4 EWR,EWR,,,,H,,,ADVANCED RNAV ONLY,,1,ZBW,ZNY
PWM,PWM CLOWW WITNY HFD T315 SEALL V188 CMK V623 SAX EWR,EWR,,,,TEC,TO NEWARK & SATS,10000,RNAV ONLY,,3,ZBW,ZNY
PWM,PWM CLOWW WITNY HFD V3 CMK V623 SAX EWR,EWR,,,,TEC,TO NEWARK & SATS,10000,RNAV ONLY,,4,ZBW,ZNY
PWM,PWM CLOWW WITNY HFD T303 DPK FRG,FRG,,,,TEC,,10000,,,1,ZBW,ZNY
PWM,PWM ENE T314 GDM T320 YANTC GON,GON,,,,TEC,,10000,,,1,ZBW,ZBW
PWM,PWM CLOWW WITNY HFD HFD,HFD,,,,TEC,,10000,RNAV ONLY,,2,ZBW,ZBW
PWM,PWM HSKEL3 BAUER RIVVR VALRE1 HPN,HPN,,,,H,TO HPN. DXR,,RNAV 1-DME/DME/IRU OR GPS. 250 KTS OR GREATER,,1,ZBW,ZNY
PWM,PWM CLOWW WITNY HFD T303 MAD EEGOR ALIXX RYMES HPN,HPN,,,,TEC,,10000,RNAV ONLY,,1,ZBW,ZNY
PWM,PWM CLOWW WITNY HFD HVN,HVN,,,,TEC,,10000,RNAV ONLY,,1,ZBW,ZNY
PWM,PWM ENE T287 HAVNS HYA,HYA,,,,TEC,,10000,,,1,ZBW,ZBW
PWM,PWM NUBLE4 BAF HYPER9 IAD,IAD,,,,H,,,ADVANCED RNAV ONLY,,1,ZBW,ZDC
PWM,PWM CAM ALB HNK LYKOM PRTZL1 IAD,IAD,1100-0300,,,H,,AOB 220,TURBOPROPS,,2,ZBW,ZDC
PWM,PWM CLOWW WITNY HFD T303 BELTT ISP,ISP,,,,TEC,,10000,,,1,ZBW,ZNY
PWM,PWM NUBLE4 JJIMY PVD PARCH4 JFK,JFK,,,,H,,,TURBOJETS ONLY,,2,ZBW,ZNY
PWM,PWM CLOWW WITNY HFD T303 DPK JFK,JFK,,,,TEC,,10000,,,1,ZBW,ZNY
PWM,PWM HSKEL3 CAM ALB VADDR1 LGA,LGA,,,,H,,,RNAV1-DME/DME/IRU OR GPS. 250 KTS OR GREATER,,1,ZBW,ZNY
PWM,PWM NUBLE4 CCC Q97 SAWED MOXXY Q85 LPERD SNFLD3 MCO,MCO,,,,H,TO ISM.MCO,,JETS: RNAV 1  - DME/DME/IRU OR GPS REQUIRED,MCO LANDING NORTH,1,ZBW,ZJX
PWM,PWM NUBLE4 CCC Q97 KALDA Q131 WAALT Y289 BAHAA HIBAC ALYNA4 MCO,MCO,,,,H,TO ISM.LEE.MCO.ORL.SFB,,JETS: RNAV 1  - DME/DME/IRU OR GPS REQUIRED,WATER,2,ZBW,ZJX
PWM,PWM NUBLE4 NELIE BIZEX Q75 GSO Q83 ROYCO Q85 LPERD SNFLD3 MCO,MCO,,,,H,TO ISM.MCO,,JETS: RNAV 1  - DME/DME/IRU OR GPS REQUIRED,MCO LANDING NORTH,3,ZBW,ZJX
PWM,PWM NUBLE4 CCC Q97 SAWED MOXXY Q85 LPERD GTOUT1 MCO,MCO,,,,H,,,JETS: RNAV 1  - DME/DME/IRU OR GPS REQUIRED,MCO LANDING SOUTH,4,ZBW,ZJX
PWM,PWM NUBLE4 NELIE BIZEX Q75 GSO Q83 ROYCO Q85 LPERD GTOUT1 MCO,MCO,,,,H,,,JETS: RNAV 1  - DME/DME/IRU OR GPS REQUIRED,MCO LANDING SOUTH,5,ZBW,ZJX
PWM,PWM HSKEL3 CAM Q822 GONZZ Q29 DORET DJB ASHEN PANGG7 MDW,MDW,,,,H,TO 05C. IGQ. 3HO. GYY. MDW,,JETS ONLY. RNAV 1-DME/DME/IRU OR GPS,,1,ZBW,ZAU
PWM,PWM NUBLE4 BAF Q406 BWZ J6 HVQ Q68 RAMRD BLUZZ5 MEM,MEM,,,,H,,,JETS ONLY.  RNAV 1 - DME/DME/IRU OR GPS.,,1,ZBW,ZME
PWM,PWM NUBLE4 CCC Q97 DEBRL CSTAL3 MIA,MIA,,,,H,TO 07FA.HST.MIA.TMB.X51,,,,1,ZBW,ZMA
PWM,PWM NUBLE4 CCC Q97 KALDA Q101 SKARP Y313 HOAGG BNFSH3 MIA,MIA,,,,H,TO 07FA.HST.MIA.TMB.X51,,JETS ONLY. EXCLUDES EA50. E50P. SF50. C510. C525,WATER,2,ZBW,ZMA
PWM,PWM HSKEL3 HANAA Q816 KELTI Q812 ZOHAN IDIOM MUSCL4 MSP,MSP,1000-0300,,,H,,,TURBOJETS,,1,ZBW,ZMP
PWM,PWM ENE T287 HAVNS MVY,MVY,,,,TEC,,10000,,,1,ZBW,ZBW
PWM,PWM HSKEL3 CAM Q822 FNT WYNDE3 ORD,ORD,1100-0300,,,H,,,DME/DME/IRU OR GNSS REQUIRED,,2,ZBW,ZAU
PWM,PWM CLOWW SPENO ORH,ORH,,,,TEC,,10000,,,1,ZBW,ZBW
PWM,PWM ENE LWRNC OWD,OWD,,,,TEC,,10000,,,1,ZBW,ZBW
PWM,PWM CLOWW WITNY HFD OXC,OXC,,,,TEC,,10000,RNAV ONLY,,1,ZBW,ZNY
PWM,PWM NUBLE4 CCC Q97 KENLL CPTAN3 PBI,PBI,,,,H,TO 06FA.BCT.FXE.PBI.PMP,,,,1,ZBW,ZMA
PWM,PWM NUBLE4 CCC Q97 KALDA Q131 WAALT Y289 DULEE CLMNT2 PBI,PBI,,,,H,TO 06FA.BCT.F45.PBI,,JETS ONLY,WATER,2,ZBW,ZMA
PWM,PWM NUBLE4 CCC MANTA Q439 BRIGS JIIMS4 PHL,PHL,1100-0300,,,H,,,,,1,ZBW,ZNY
PWM,PWM CLOWW WITNY HFD MAD JAFFY T224 JIIMS OOD PHL,PHL,,,,TEC,,10000,SINGLE ENGINE ONLY,,1,ZBW,ZNY
PWM,PWM CLOWW WITNY HFD MAD BEADS T320 BRIGS V184 OOD PHL,PHL,,,,TEC,,10000,,,2,ZBW,ZNY
PWM,PWM HSKEL3 CAM ALB J49 HNK SLT HAYNZ7 PIT,PIT,1100-0300,,,H,,,,,1,ZBW,ZOB
PWM,PWM ENE T314 GDM T320 MOGUL YANTC T224 DIXIE T438 ARD PNE,PNE,,,,TEC,,10000,SINGLE ENGINE ONLY,,1,ZBW,ZNY
PWM,PWM CLOWW WITNY HFD MAD BEADS T320 MANTA T438 ARD PNE,PNE,,,,TEC,,10000,,,2,ZBW,ZNY
PWM,PWM ENE T287 HAVNS PVC,PVC,,,,TEC,,10000,,,1,ZBW,ZBW
PWM,PWM ENE T287 BURDY PVD,PVD,,,,TEC,,10000,,,1,ZBW,ZBW
PWM,PWM NUBLE4 CCC TOPRR Q167 ZJAAY TAQLE3 RDU,RDU,,,,H,,,JETS ONLY. RNAV 1 - DME/DME/IRU OR GPS,,1,ZBW,ZDC
PWM,PWM NUBLE4 NELIE Q75 SLOJO Q103 CYNTA SHFTY6 RSW,RSW,1100-0300,,,H,,,,,1,ZBW,ZMA
PWM,PWM NUBLE4 NELIE Q75 SLOJO Q103 PUPYY KYYUU LUBBR4 SRQ,SRQ,,,,H,TO FA54.LAL.PGD.SRQ.VNC,,JETS ONLY.  RNAV 1 - DME/DME/IRU OR GPS,,1,ZBW,ZMA
PWM,PWM ENE T314 BAF VEERS T212 TRESA SWF,SWF,,,,TEC,,10000,GNSS EQUIPPED ONLY,,1,ZBW,ZNY
PWM,PWM NUBLE4 NELIE Q75 TEUFL BAAMF DADES2 TPA,TPA,1100-0300,,,H,,,,,1,ZBW,ZMA